Name,Rating,Reviews,Industry,Employees,Domain,Years_in_Operation,HQ
Maruti Suzuki,4.3,6.6k Reviews,Automobile,10k-50k Employees,Public,43 years old,New Delhi +380 more
Ericsson,4.3,6.6k Reviews,Telecom,10k-50k Employees,Forbes Global 2000,148 years old,Stockholm +150 more
Shriram Finance,4.1,6.5k Reviews,NBFC,50k-1 Lakh Employees,Fortune India 500,45 years old,Mumbai +950 more
Asian Paints,4.1,6.3k Reviews,Chemicals,5k-10k Employees,Public,82 years old,Mumbai +427 more
Yes Bank,3.9,6.3k Reviews,Banking,10k-50k Employees,Public,20 years old,Mumbai +435 more
Cipla Pharmaceutical,4.1,6.2k Reviews,Pharma,10k-50k Employees,Public,89 years old,Mumbai +233 more
Dr. Reddy's,4.2,6k Reviews,Pharma,10k-50k Employees,Public,40 years old,Hyderabad/Secunderabad +161 more
Sutherland Global Services,3.7,6k Reviews,IT Services & Consulting,10k-50k Employees,38 years old,Pittsford +55 more,
Bandhan Bank,3.8,5.9k Reviews,Banking,50k-1 Lakh Employees,Public,23 years old,Kolkata +749 more
UltraTech Cement,4.2,5.9k Reviews,Building Material,10k-50k Employees,Public,41 years old,Mumbai +431 more
Paytm,3.5,5.9k Reviews,FinTech,10k-50k Employees,Public,14 years old,Noida +310 more
EXL Service,3.8,5.9k Reviews,Analytics & KPO,10k-50k Employees,25 years old,New York City +45 more,
NTT DATA,4.0,5.8k Reviews,IT Services & Consulting,10k-50k Employees,36 years old,Chiyoda City +56 more,
ICICI Prudential Life Insurance,4.1,5.6k Reviews,Insurance,10k-50k Employees,Public,24 years old,Mumbai +447 more
Jana Small Finance Bank,3.9,5.6k Reviews,Banking,10k-50k Employees,Public,18 years old,Bangalore/Bengaluru +347 more
Bajaj Finance,4.1,5.6k Reviews,NBFC,10k-50k Employees,37 years old,Pune +765 more,
Lupin,4.1,5.4k Reviews,Pharma,1k-5k Employees,Public,56 years old,Mumbai +164 more
Indian Army,4.7,5.4k Reviews,Defence & Aerospace,1 Lakh+ Employees,Public,129 years old,New Delhi +324 more
HCL Group,3.7,5.3k Reviews,IT Services & Consulting,1 Lakh+ Employees,48 years old,Chennai +74 more,
Udaan,4.0,5.3k Reviews,Internet,1k-5k Employees,Indian Unicorn,8 years old,Bangalore +349 more
L&T Infotech,3.8,5.3k Reviews,IT Services & Consulting,10k-50k Employees,Public,28 years old,Mumbai +83 more
TATA Steel,4.2,5.2k Reviews,Iron & Steel,1 Lakh+ Employees,Public,117 years old,Mumbai +165 more
Quess,4.0,5.2k Reviews,BPO,1k-5k Employees,Public,17 years old,Bangalore +516 more
ITC,4.0,5.2k Reviews,FMCG,10k-50k Employees,Public,49 years old,Kolkata +303 more
Wells Fargo,4.1,5.2k Reviews,Financial Services,10k-50k Employees,Public,172 years old,San Francisco +20 more
Amazon Development Centre India,4.2,5.1k Reviews,Internet,10k-50k Employees,Hyderabad / Secunderabad +78 more,,
Zydus Lifesciences,4.1,5.1k Reviews,Pharma,10k-50k Employees,Public,72 years old,Ahmedabad +148 more
Delhivery,4.0,5.1k Reviews,Logistics,10k-50k Employees,Fortune India 500,13 years old,Delhi +617 more
JP Morgan Chase,4.1,5k Reviews,Financial Services,50k-1 Lakh Employees,Forbes Global 2000,24 years old,New York +31 more
Hindustan Unilever,4.3,4.9k Reviews,FMCG,10k-50k Employees,Public,152 years old,London +422 more
FIS,3.9,4.9k Reviews,FinTech,10k-50k Employees,56 years old,Jacksonville +46 more,
IIFL Finance,3.9,4.7k Reviews,NBFC,10k-50k Employees,Public,29 years old,Mumbai +657 more
Hexaware Technologies,3.7,4.7k Reviews,IT Services & Consulting,10k-50k Employees,Fortune India 500,34 years old,Mumbai +44 more
JSW Steel,4.0,4.7k Reviews,Iron & Steel,10k-50k Employees,Public,42 years old,Mumbai +142 more
Sun Pharmaceutical Industries,4.2,4.6k Reviews,Pharma,10k-50k Employees,Public,41 years old,Mumbai +196 more
Ujjivan Small Finance Bank,4.1,4.6k Reviews,Banking,10k-50k Employees,Public,7 years old,Bangalore/Bengaluru +438 more
Muthoot Finance,3.6,4.5k Reviews,NBFC,10k-50k Employees,Public,85 years old,Kochi/Cochin +627 more
Max Life Insurance,4.2,4.4k Reviews,Insurance,10k-50k Employees,24 years old,Gurgaon/Gurugram +391 more,
Aurobindo Pharma,4.0,4.4k Reviews,Pharma,10k-50k Employees,Public,38 years old,Hyderabad/Secunderabad +90 more
Tata Projects,4.3,4.4k Reviews,Engineering & Construction,5k-10k Employees,Public,45 years old,Mumbai +236 more
KPMG India,3.6,4.4k Reviews,Management Consulting,10k-50k Employees,37 years old,Bangalore / Bengaluru +76 more,
Shapoorji Pallonji Group,4.2,4.4k Reviews,Engineering & Construction,5k-10k Employees,Conglomerate,159 years old,Mumbai +161 more
Home Credit Finance,4.1,4.4k Reviews,Financial Services,10k-50k Employees,12 years old,Gurugram +114 more,
Oracle,3.8,4.3k Reviews,Software Product,50k-1 Lakh Employees,Public,47 years old,Austin +47 more
L&T Construction,4.1,4.3k Reviews,Engineering & Construction,5k-10k Employees,Public,80 years old,Chennai +339 more
OPPO,4.0,4.3k Reviews,Consumer Electronics & Appliances,10k-50k Employees,Public,20 years old,Dongguan +369 more
eClerx,3.5,4.3k Reviews,IT Services & Consulting,10k-50k Employees,Public,24 years old,Mumbai +17 more
Apollo Hospitals,4.1,4.2k Reviews,Healthcare,10k-50k Employees,Public,41 years old,Chennai +184 more
Ashok Leyland,4.1,4.2k Reviews,Automobile,5k-10k Employees,Public,76 years old,Chennai +208 more
Siemens,4.2,4.2k Reviews,Industrial Automation,5k-10k Employees,Public,177 years old,Munich +127 more
JLL,4.2,4.2k Reviews,Real Estate,10k-50k Employees,Forbes Global 2000,27 years old,Mumbai +68 more
Omega Healthcare,3.8,4.1k Reviews,Healthcare,10k-50k Employees,21 years old,Florida +46 more,
Vivo,4.1,4.1k Reviews,Consumer Electronics & Appliances,5k-10k Employees,Conglomerate,15 years old,Gurgaon/Gurugram +375 more
Megha Engineering & Infrastructures,4.1,4.1k Reviews,Engineering & Construction,5k-10k Employees,Conglomerate,35 years old,Hyderabad/Secunderabad +294 more
JustDial,3.6,4.1k Reviews,Internet,10k-50k Employees,Public,28 years old,Mumbai +178 more
First Source,3.8,4.1k Reviews,BPO,10k-50k Employees,Public,23 years old,Mumbai +54 more
Bajaj Allianz Life Insurance,4.1,4k Reviews,Insurance,10k-50k Employees,23 years old,Pune +500 more,
Hero MotoCorp,4.2,4k Reviews,Automobile,5k-10k Employees,Public,40 years old,Gurgaon/Gurugram +312 more
Mahindra & Mahindra Financial Services,4.3,4k Reviews,NBFC,10k-50k Employees,Public,33 years old,Mumbai +633 more
D Mart,4.0,3.9k Reviews,Retail,10k-50k Employees,Fortune India 500,24 years old,Mumbai +210 more
Cyient,3.8,3.9k Reviews,IT Services & Consulting,10k-50k Employees,Public,33 years old,Hyderabad/Secunderabad +35 more
Coforge,3.5,3.8k Reviews,IT Services & Consulting,10k-50k Employees,Public,20 years old,Noida +86 more
ICICI Lombard General Insurance Company,3.8,3.8k Reviews,Insurance,10k-50k Employees,Public,23 years old,Mumbai +260 more
BigBasket,4.0,3.8k Reviews,Internet,10k-50k Employees,Indian Unicorn,13 years old,Bangalore +115 more
Indiamart Intermesh,3.6,3.8k Reviews,Internet,5k-10k Employees,28 years old,Noida +138 more,
Virtusa Consulting Services,3.8,3.8k Reviews,IT Services & Consulting,10k-50k Employees,28 years old,Southborough +37 more,
Equitas Small Finance Bank,4.4,3.7k Reviews,Banking,10k-50k Employees,Fortune India 500,17 years old,Chennai +366 more
TVS Motor,4.1,3.7k Reviews,Automobile,5k-10k Employees,Public,45 years old,Chennai +276 more
GlobalLogic,3.7,3.6k Reviews,IT Services & Consulting,10k-50k Employees,24 years old,San Jose +32 more,
Manappuram Finance,4.0,3.6k Reviews,NBFC,10k-50k Employees,Public,75 years old,Thrissur/Trichur +494 more
UST,3.9,3.6k Reviews,IT Services & Consulting,10k-50k Employees,23 years old,Aliso Viejo +36 more,
Hewlett-Packard Enterprise,4.3,3.6k Reviews,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,9 years old,Houston +90 more
SBI Cards & Payment Services,3.8,3.6k Reviews,Financial Services,1k-5k Employees,26 years old,Gurgaon/Gurugram +337 more,
Atos Syntel,3.6,3.6k Reviews,IT Services & Consulting,5k-10k Employees,44 years old,Troy +23 more,
Cummins,4.4,3.6k Reviews,Industrial Machinery,1k-5k Employees,Fortune India 500,62 years old,Columbus +104 more
Nagarro,4.1,3.6k Reviews,IT Services & Consulting,10k-50k Employees,28 years old,Munich +39 more,
Bosch Global Software Technologies,4.1,3.6k Reviews,IT Services & Consulting,10k-50k Employees,34 years old,Gerlingen +30 more,
IQVIA,4.1,3.6k Reviews,Clinical Research,10k-50k Employees,Forbes Global 2000,42 years old,Durham +41 more
Ekart Logistics,4.1,3.5k Reviews,Logistics,1k-5k Employees,15 years old,San Francisco +564 more,
Bosch,4.3,3.5k Reviews,Auto Components,5k-10k Employees,Public,138 years old,Gerlingen +100 more
Reliance Communications,4.0,3.5k Reviews,Telecom,201-500 Employees,Public,22 years old,Navi Mumbai +422 more
Cholamandalam Investment & Finance,4.1,3.5k Reviews,NBFC,10k-50k Employees,Fortune India 500,46 years old,Chennai +630 more
SMFG India Credit,4.1,3.5k Reviews,NBFC,10k-50k Employees,17 years old,Mumbai +483 more,
BNY Mellon,4.1,3.5k Reviews,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,20 years old,New York City +15 more
Schneider Electric,4.2,3.5k Reviews,Industrial Automation,10k-50k Employees,Forbes Global 2000,25 years old,Paris +115 more
Hyundai Motor,4.4,3.4k Reviews,Automobile,10k-50k Employees,Fortune India 500,57 years old,Seoul +263 more
L&T Technology Services,3.4,3.4k Reviews,IT Services & Consulting,10k-50k Employees,Public,12 years old,Vadodara/Baroda +48 more
Amdocs,4.0,3.4k Reviews,Software Product,10k-50k Employees,Forbes Global 2000,42 years old,Chesterfield +15 more
Oyo Rooms,3.4,3.4k Reviews,Hospitality,1k-5k Employees,Indian Unicorn,11 years old,Gurgaon +117 more
CBRE,4.3,3.4k Reviews,Real Estate,10k-50k Employees,Forbes Global 2000,118 years old,Los Angeles +75 more
State Bank of India,3.8,3.3k Reviews,Banking,1 Lakh+ Employees,Fortune India 500,218 years old,Mumbai +482 more
BT Group,4.1,3.3k Reviews,Telecom,10k-50k Employees,Forbes Global 2000,178 years old,London +18 more
JBM Group,4.0,3.3k Reviews,Auto Components,1k-5k Employees,Public,41 years old,Gurgaon/Gurugram +87 more
Swiggy,3.9,3.3k Reviews,Internet,5k-10k Employees,Indian Unicorn,10 years old,Bangalore +180 more
Ecom Express,4.1,3.3k Reviews,Logistics,10k-50k Employees,12 years old,Gurgaon +616 more,
SBI Life Insurance Company,3.9,3.3k Reviews,Insurance,10k-50k Employees,23 years old,Mumbai +519 more,
Dell,4.2,3.2k Reviews,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,40 years old,Round Rock +100 more
Optum,4.0,3.2k Reviews,Healthcare,10k-50k Employees,47 years old,Prairie +27 more,
Bajaj Auto,3.9,3.2k Reviews,Automobile,5k-10k Employees,Public,79 years old,Pune +249 more
Nagarjuna Construction Company,4.1,3.2k Reviews,Engineering & Construction,5k-10k Employees,Public,26 years old,Hyderabad/Secunderabad +225 more
Future Group,4.3,3.2k Reviews,Retail,10k-50k Employees,Conglomerate,11 years old,Mumbai +202 more
KEC International,4.1,3.2k Reviews,Engineering & Construction,5k-10k Employees,Public,79 years old,Mumbai +266 more
Piramal Capital Housing Finance,4.2,3.1k Reviews,NBFC,1k-5k Employees,4 years old,Mumbai +329 more,
Aditya Birla Fashion and Retail,4.2,3.1k Reviews,Fashion & Textile,10k-50k Employees,Fortune India 500,9 years old,Mumbai +225 more
Muthoot Fincorp,4.1,3.1k Reviews,NBFC,10k-50k Employees,Conglomerate,137 years old,Trivandrum/Thiruvananthapuram +533 more
Royal Enfield,4.3,3.1k Reviews,Automobile,5k-10k Employees,123 years old,Gurgaon/Gurugram +303 more,
L&T Finance,4.0,3k Reviews,NBFC,10k-50k Employees,Public,30 years old,Mumbai +475 more
Viatris,4.3,3k Reviews,Pharma,10k-50k Employees,Forbes Global 2000,63 years old,Canonsburg +70 more
Tata Communications,4.1,3k Reviews,Telecom,5k-10k Employees,Public,38 years old,Mumbai +89 more
Samvardhana Motherson Group,3.8,3k Reviews,Auto Components,1k-5k Employees,Public,38 years old,Noida +77 more
LG Electronics,4.1,3k Reviews,Consumer Electronics & Appliances,1k-5k Employees,Public,66 years old,Seoul +248 more
Intas Pharmaceuticals,4.2,3k Reviews,Pharma,10k-50k Employees,Fortune India 500,24 years old,Ahmedabad +115 more
Kogta Financial India Limited,4.8,3k Reviews,NBFC,1k-5k Employees,Public,28 years old,Jaipur +206 more
John Deere,4.3,3k Reviews,Industrial Machinery,5k-10k Employees,Fortune India 500,23 years old,Moline +120 more
Varun Beverages,4.1,2.9k Reviews,Beverage,5k-10k Employees,Public,29 years old,Gurgaon/Gurugram +283 more
Godrej & Boyce Manufacturing,3.9,2.9k Reviews,Engineering & Construction,10k-50k Employees,Fortune India 500,127 years old,Mumbai +130 more
Persistent Systems,3.8,2.9k Reviews,IT Services & Consulting,10k-50k Employees,Public,34 years old,Pune +32 more
Randstad,3.9,2.9k Reviews,Recruitment,5k-10k Employees,Conglomerate,32 years old,Chennai +258 more
Thermax Limited,4.2,2.9k Reviews,Industrial Machinery,1k-5k Employees,Public,58 years old,Pune +176 more
Hetero Drugs,3.9,2.9k Reviews,Pharma,1k-5k Employees,31 years old,Hyderabad/Secunderabad +45 more,
Havells,4.1,2.8k Reviews,Electrical Equipment,5k-10k Employees,Public,41 years old,Noida +178 more
Deutsche Bank,4.1,2.8k Reviews,Banking,10k-50k Employees,Fortune India 500,154 years old,Frankfurt +37 more
Macleods Pharmaceuticals,3.8,2.8k Reviews,Pharma,10k-50k Employees,Public,38 years old,Mumbai +98 more
CARS24,3.6,2.8k Reviews,Internet,5k-10k Employees,Indian Unicorn,9 years old,Gurgaon +150 more
Team Lease,4.0,2.8k Reviews,Recruitment,1k-5k Employees,Public,8 years old,Bangalore/Bengaluru +301 more
Subros,4.0,2.8k Reviews,Auto Components,1k-5k Employees,Public,39 years old,Noida +57 more
Sodexo,4.1,2.8k Reviews,Facility Management Services,10k-50k Employees,Forbes Global 2000,16 years old,Issy les Moulineaux +131 more
Abbott Healthcare,4.1,2.8k Reviews,Pharma,10k-50k Employees,Public,33 years old,Illinois City +171 more
Whitehat jr,3.5,2.8k Reviews,EdTech,5k-10k Employees,Startup,6 years old,Mumbai +50 more
VE Commercial Vehicles,4.0,2.8k Reviews,Automobile,1k-5k Employees,16 years old,Gurgaon/Gurugram +127 more,
Ford Motor,4.5,2.7k Reviews,Automobile,5k-10k Employees,Public,121 years old,Dearborn +111 more
Indian Oil Corporation,4.5,2.7k Reviews,Oil & Gas,10k-50k Employees,Fortune India 500,65 years old,Delhi/NCR +251 more
Cgi Group,4.1,2.7k Reviews,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,48 years old,Montreal +25 more
Tata Capital,4.2,2.7k Reviews,NBFC,5k-10k Employees,Fortune India 500,17 years old,Mumbai +228 more
Automatic Data Processing (ADP),4.1,2.7k Reviews,Software Product,1k-5k Employees,Forbes Global 2000,75 years old,New Jersey +24 more
Bharat Electronics,4.2,2.7k Reviews,Electronics Manufacturing,5k-10k Employees,Fortune India 500,70 years old,Bangalore/Bengaluru +48 more
American Express,4.3,2.7k Reviews,Financial Services,10k-50k Employees,Forbes Global 2000,174 years old,New York City +44 more
Standard Chartered Bank,3.9,2.7k Reviews,Banking,10k-50k Employees,Fortune India 500,55 years old,London +57 more
Alembic Pharmaceuticals,4.1,2.7k Reviews,Pharma,10k-50k Employees,Public,117 years old,Vadodara/Baroda +149 more
Access Healthcare,4.0,2.7k Reviews,IT Services & Consulting,5k-10k Employees,13 years old,Dallas +30 more,
Pidilite Industries,4.4,2.7k Reviews,Chemicals,5k-10k Employees,Public,65 years old,Mumbai +235 more
R1 RCM,4.0,2.7k Reviews,Healthcare,5k-10k Employees,17 years old,Murray +32 more,
UnitedHealth,4.1,2.7k Reviews,Healthcare,10k-50k Employees,Forbes Global 2000,47 years old,Minnetonka +15 more
ITC Infotech,3.6,2.6k Reviews,IT Services & Consulting,10k-50k Employees,24 years old,Bangalore/Bengaluru +51 more,
Tata AIA Life Insurance,4.1,2.6k Reviews,Insurance,10k-50k Employees,23 years old,Mumbai +322 more,
Alkem Laboratories,3.9,2.6k Reviews,Pharma,10k-50k Employees,Public,51 years old,Mumbai +159 more
Hindalco Industries,4.3,2.6k Reviews,Metals & Mining,10k-50k Employees,Public,66 years old,Mumbai +86 more
Publicis Sapient,3.6,2.6k Reviews,IT Services & Consulting,10k-50k Employees,34 years old,New York +26 more,
Atos,3.8,2.6k Reviews,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,27 years old,Vilnius +41 more
Aakash Educational Services,3.6,2.6k Reviews,EdTech,5k-10k Employees,36 years old,New Delhi +203 more,
DCB Bank,3.9,2.6k Reviews,Banking,5k-10k Employees,Fortune India 500,94 years old,Mumbai +303 more
Hindustan Coca Cola Beverages,4.3,2.6k Reviews,Beverage,5k-10k Employees,27 years old,Bangalore +214 more,
Indian Air Force,4.7,2.6k Reviews,Defence & Aerospace,1 Lakh+ Employees,92 years old,New Delhi +111 more,
Utkarsh Small Finance Bank,3.9,2.6k Reviews,Banking,10k-50k Employees,Public,15 years old,Varanasi +293 more
Vishal Mega Mart,3.8,2.6k Reviews,Retail,10k-50k Employees,16 years old,Gurgaon/Gurugram +318 more,
Glenmark Pharmaceuticals,4.1,2.5k Reviews,Pharma,10k-50k Employees,Public,47 years old,Mumbai +140 more
Barclays,4.0,2.5k Reviews,Banking,10k-50k Employees,Forbes Global 2000,334 years old,London +31 more
Ipca Laboratories,4.0,2.5k Reviews,Pharma,10k-50k Employees,Public,75 years old,Mumbai +124 more
Berger Paints,3.8,2.5k Reviews,Chemicals,1k-5k Employees,Public,101 years old,Kolkata +245 more
Maersk,4.3,2.5k Reviews,Other,10k-50k Employees,120 years old,Copenhagen +35 more,
Jindal Steel and Power,4.0,2.5k Reviews,Iron & Steel,5k-10k Employees,Fortune India 500,45 years old,Delhi/NCR +116 more
ABB Group,4.1,2.5k Reviews,Industrial Automation,1k-5k Employees,Public,36 years old,Zurich +96 more
Bank of America,4.4,2.5k Reviews,Banking,10k-50k Employees,Fortune India 500,26 years old,Charlotte +30 more
DTDC Express,3.8,2.5k Reviews,Logistics,1k-5k Employees,34 years old,Bangalore/Bengaluru +227 more,
Wipro Infotech,4.0,2.5k Reviews,IT Services & Consulting,1 Lakh+ Employees (Global),MNC,79 years old,Bangalore +117 more
Aarti Industries,4.2,2.5k Reviews,Agro Chemicals,5k-10k Employees,Public,49 years old,Mumbai +43 more
Marpu Foundation,4.9,2.5k Reviews,Non-Profit,51-200 Employees,8 years old,Hyderabad/Secunderabad +53 more,
24/7 Customer,3.6,2.5k Reviews,BPO,5k-10k Employees,24 years old,San Jose +25 more,
Honda Motorcycle & Scooter,4.2,2.5k Reviews,Automobile,10k-50k Employees,25 years old,Gurgaon/Gurugram +214 more,
NatWest Group,4.1,2.4k Reviews,Banking,10k-50k Employees,Forbes Global 2000,Gurgaon / Gurugram +22 more,
HDFC Ergo General Insurance,4.1,2.4k Reviews,Insurance,10k-50k Employees,Public,22 years old,Mumbai +231 more
Johnson Controls,3.7,2.4k Reviews,Industrial Automation,5k-10k Employees,Public,139 years old,Cork +48 more
CMS IT Services,3.1,2.4k Reviews,IT Services & Consulting,5k-10k Employees,Startup,10 years old,Bangalore +137 more
Carelon Global Solutions,4.0,2.4k Reviews,IT Services & Consulting,10k-50k Employees,Hyderabad / Secunderabad +12 more,,
PolicyBazaar,3.5,2.4k Reviews,Internet,10k-50k Employees,Public,16 years old,Gurgaon +87 more
Reliance Nippon Life Insurance,3.9,2.4k Reviews,Insurance,10k-50k Employees,24 years old,Mumbai +430 more,
MRF Tyres,3.8,2.4k Reviews,Auto Components,10k-50k Employees,Public,78 years old,Chennai +163 more
RBL Bank,3.8,2.4k Reviews,Banking,10k-50k Employees,Public,81 years old,Mumbai +222 more
Cogent E Services,3.3,2.4k Reviews,BPO,10k-50k Employees,Conglomerate,20 years old,Noida +35 more
PNB MetLife,3.5,2.4k Reviews,Insurance,5k-10k Employees,Conglomerate,23 years old,Mumbai +323 more
Wipro Consumer Care & Lighting,3.9,2.4k Reviews,FMCG,1k-5k Employees,79 years old,Bangalore/Bengaluru +95 more,
Paras Hospital,4.6,2.4k Reviews,Healthcare,1k-5k Employees,18 years old,Gurgaon/Gurugram +46 more,
Reliance Digital,4.3,2.4k Reviews,Retail,5k-10k Employees,17 years old,Mumbai +307 more,
GeBBS Healthcare Solutions,3.7,2.4k Reviews,BPO,5k-10k Employees,19 years old,Culver City +18 more,
Ceat Tyres,4.1,2.4k Reviews,Auto Components,5k-10k Employees,Public,66 years old,Mumbai +113 more
Axis Direct,3.9,2.4k Reviews,Financial Services,1k-5k Employees,13 years old,San Mateo +271 more,
Kotak Mahindara Life Insurance,3.9,2.4k Reviews,Insurance,10k-50k Employees,Public,23 years old,Mumbai +210 more
Jubilant Foods Works,3.9,2.4k Reviews,Hospitality,10k-50k Employees,Public,29 years old,Noida +192 more
Dabur,3.8,2.4k Reviews,FMCG,5k-10k Employees,Public,140 years old,Ghaziabad +249 more
Conduent,3.6,2.4k Reviews,BPO,5k-10k Employees,7 years old,Florham Park +21 more,
JK Cement,4.2,2.4k Reviews,Building Material,1k-5k Employees,Public,50 years old,Gurgaon/Gurugram +236 more
Shoppers Stop,4.1,2.3k Reviews,Retail,5k-10k Employees,Public,33 years old,Mumbai +62 more
IndiGo,3.6,2.3k Reviews,Aviation,10k-50k Employees,Fortune India 500,19 years old,Gurgaon/Gurugram +89 more
Synechron,3.8,2.3k Reviews,IT Services & Consulting,5k-10k Employees,23 years old,New York +26 more,
ACC,3.9,2.3k Reviews,Building Material,5k-10k Employees,Public,88 years old,Mumbai +213 more
HARMAN,3.8,2.3k Reviews,Consumer Electronics & Appliances,5k-10k Employees,Public,15 years old,Stamford +28 more
